   0 840.3  42.7 2067
   1 836.8  46.2 2064
   2 833.2  49.8 2066
   3 829.7  53.3 2065
   4 826.1  56.9 2867
   5 822.5  60.5 2864
   6 819.0  64.0 2866
   7 815.4  67.6 2865
   8 811.6  71.4 2355
   9 808.1  74.9 2352
  10 804.6  78.4 2354
  11 801.1  81.9 2353
  12 797.6  85.4 2003
  13 794.1  88.9 2000
  14 790.6  92.4 2002
  15 787.1  95.9 2001
  16 783.4  99.6 2611
  17 779.9 103.1 2608
  18 776.5 106.5 2610
  19 773.1 109.9 2609
  20 769.6 113.4 2323
  21 766.2 116.8 2320
  22 762.8 120.2 2322
  23 759.4 123.6 2321
  24 755.7 127.3 2291
  25 752.4 130.6 2288
  26 749.0 134.0 2290
  27 745.6 137.4 2289
  28 742.3 140.7 2579
  29 738.9 144.1 2576
  30 735.6 147.4 2578
  31 732.2 150.8 2577
  32 728.7 154.3 2035
  33 725.5 157.5 2032
  34 722.2 160.8 2034
  35 718.9 164.1 2033
  36 715.6 167.4 2643
  37 712.4 170.6 2640
  38 709.1 173.9 2642
  39 705.8 177.2 2641
  40 702.4 180.6 2931
  41 699.2 183.8 2928
  42 696.0 187.0 2930
  43 692.9 190.1 2929
  44 689.7 193.3 2899
  45 686.5 196.5 2896
  46 683.3 199.7 2898
  47 680.1 202.9 2897
  48 676.9 206.1 2071
  49 673.8 209.2 2068
  50 670.6 212.4 2070
  51 667.5 215.5 2069
  52 664.4 218.6 2871
  53 661.4 221.6 2868
  54 658.3 224.7 2870
  55 655.2 227.8 2869
  56 652.0 231.0 2359
  57 649.0 234.0 2356
  58 646.0 237.0 2358
  59 643.0 240.0 2357
  60 640.0 243.0 2007
  61 637.0 246.0 2004
  62 634.0 249.0 2006
  63 631.0 252.0 2005
  64 628.0 255.0 2615
  65 625.0 258.0 2612
  66 622.1 260.9 2614
  67 619.1 263.9 2613
  68 616.2 266.8 2327
  69 613.3 269.7 2324
  70 610.4 272.6 2326
  71 607.5 275.5 2325
  72 604.6 278.4 2295
  73 601.8 281.2 2292
  74 598.9 284.1 2294
  75 596.1 286.9 2293
  76 593.2 289.8 2583
  77 590.4 292.6 2580
  78 587.6 295.4 2582
  79 584.8 298.2 2581
  80 582.0 301.0 2039
  81 579.2 303.8 2036
  82 576.5 306.5 2038
  83 573.7 309.3 2037
  84 571.0 312.0 2647
  85 568.2 314.8 2644
  86 565.5 317.5 2646
  87 562.8 320.2 2645
  88 560.1 322.9 2935
  89 557.4 325.6 2932
  90 554.7 328.3 2934
  91 552.0 331.0 2933
  92 549.4 333.6 2903
  93 546.7 336.3 2900
  94 544.1 338.9 2902
  95 541.5 341.5 2901
  96 538.9 344.1 2075
  97 536.2 346.8 2072
  98 533.6 349.4 2074
  99 531.1 351.9 2073
 100 528.5 354.5 2875
 101 525.9 357.1 2872
 102 523.4 359.6 2874
 103 520.8 362.2 2873
 104 518.3 364.7 2363
 105 515.8 367.2 2360
 106 513.2 369.8 2362
 107 510.7 372.3 2361
 108 508.2 374.8 2011
 109 505.7 377.3 2008
 110 503.2 379.8 2010
 111 500.8 382.2 2009
 112 498.4 384.6 2619
 113 495.9 387.1 2616
 114 493.5 389.5 2618
 115 491.0 392.0 2617
 116 488.6 394.4 2331
 117 486.2 396.8 2328
 118 483.8 399.2 2330
 119 481.4 401.6 2329
 120 479.1 403.9 2299
 121 476.7 406.3 2296
 122 474.3 408.7 2298
 123 471.9 411.1 2297
 124 469.6 413.4 2587
 125 467.2 415.8 2584
 126 464.9 418.1 2586
 127 462.6 420.4 2585
 128 460.3 422.7 2043
 129 458.0 425.0 2040
 130 455.7 427.3 2042
 131 453.4 429.6 2041
 132 451.1 431.9 2651
 133 448.9 434.1 2648
 134 446.6 436.4 2650
 135 444.3 438.7 2649
 136 442.2 440.8 2939
 137 439.9 443.1 2936
 138 437.7 445.3 2938
 139 435.5 447.5 2937
 140 433.2 449.8 2907
 141 431.0 452.0 2904
 142 428.8 454.2 2906
 143 426.6 456.4 2905
 144 424.6 458.4 2079
 145 422.4 460.6 2076
 146 420.2 462.8 2078
 147 418.0 465.0 2077
 148 415.9 467.1 2879
 149 413.7 469.3 2876
 150 411.6 471.4 2878
 151 409.5 473.5 2877
 152 407.5 475.5 2367
 153 405.3 477.7 2364
 154 403.2 479.8 2366
 155 401.1 481.9 2365
 156 399.0 484.0 2015
 157 396.9 486.1 2012
 158 394.9 488.1 2014
 159 392.8 490.2 2013
 160 390.9 492.1 2623
 161 388.8 494.2 2620
 162 386.7 496.3 2622
 163 384.7 498.3 2621
 164 382.6 500.4 2335
 165 380.6 502.4 2332
 166 378.6 504.4 2334
 167 376.6 506.4 2333
 168 374.7 508.3 2303
 169 372.7 510.3 2300
 170 370.7 512.3 2302
 171 368.7 514.3 2301
 172 366.7 516.3 2591
 173 364.8 518.2 2588
 174 362.8 520.2 2590
 175 360.9 522.1 2589
 176 359.1 523.9 2047
 177 357.1 525.9 2044
 178 355.1 527.9 2046
 179 353.2 529.8 2045
 180 351.3 531.7 2655
 181 349.4 533.6 2652
 182 347.5 535.5 2654
 183 345.6 537.4 2653
 184 343.8 539.2 2943
